row_level,col_level,row,col,article_id
method,feature,SOBI/BSS,correlation,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,reconstruction/imputation,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,SOBI/BSS,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,correlation,Cardiac / ECG / BCG,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
feature,marker_artifact,PSD,Bad channel / electrode contact,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
method,marker_artifact,band-pass,Line / mains noise,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
feature,marker_artifact,gamma,Muscle / EMG,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
marker_artifact,tool,Line / mains noise,MATLAB,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
feature,tool,band power,MATLAB,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
method,tool,ICA,FASTER,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
marker_artifact,tool,Line / mains noise,EEGLAB,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
marker_artifact,tool,fMRI gradient artifact,MATLAB,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
marker_artifact,tool,Artifact label / class,FASTER,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
method,feature,ICA,topography,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
marker_artifact,tool,Rejected epoch / segment,MATLAB,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
marker_artifact,tool,fMRI gradient artifact,EEGLAB,003_PMC10696919_Automated pipeline for EEG artifact reduction (APPEAR) recorded during fMRI
