row_level,col_level,row,col,article_count
method,marker_artifact,interpolation,Ocular / blink / EOG,68
method,marker_artifact,interpolation,Rejected epoch / segment,15
method,marker_artifact,interpolation,TMS artifact,5
method,marker_artifact,interpolation,fMRI gradient artifact,2
method,marker_artifact,kNN,Artifact label / class,2
method,marker_artifact,kNN,Bad channel / electrode contact,5
method,marker_artifact,kNN,Cardiac / ECG / BCG,13
method,marker_artifact,kNN,Line / mains noise,8
method,marker_artifact,kNN,Motion / head movement,6
method,marker_artifact,kNN,Muscle / EMG,19
method,marker_artifact,kNN,Ocular / blink / EOG,20
method,marker_artifact,kNN,Rejected epoch / segment,1
method,marker_artifact,kNN,TMS artifact,1
method,marker_artifact,low-pass,Bad channel / electrode contact,29
method,marker_artifact,low-pass,Cardiac / ECG / BCG,22
method,marker_artifact,low-pass,Cochlear implant artifact,1
method,marker_artifact,low-pass,Drift / sweat / cable,6
method,marker_artifact,low-pass,Line / mains noise,97
method,marker_artifact,low-pass,Motion / head movement,28
method,marker_artifact,low-pass,Muscle / EMG,48
method,marker_artifact,low-pass,Ocular / blink / EOG,76
method,marker_artifact,low-pass,Rejected epoch / segment,3
method,marker_artifact,low-pass,fMRI gradient artifact,1
method,marker_artifact,notch/band-stop,Bad channel / electrode contact,30
method,marker_artifact,notch/band-stop,Cardiac / ECG / BCG,23
method,marker_artifact,notch/band-stop,Drift / sweat / cable,6
method,marker_artifact,notch/band-stop,Line / mains noise,224
method,marker_artifact,notch/band-stop,Motion / head movement,32
method,marker_artifact,notch/band-stop,Muscle / EMG,60
method,marker_artifact,notch/band-stop,Ocular / blink / EOG,83
method,marker_artifact,notch/band-stop,Rejected epoch / segment,4
method,marker_artifact,notch/band-stop,TMS artifact,2
method,marker_artifact,notch/band-stop,fMRI gradient artifact,2
method,marker_artifact,reconstruction/imputation,Artifact label / class,2
method,marker_artifact,reconstruction/imputation,Bad channel / electrode contact,11
method,marker_artifact,reconstruction/imputation,Cardiac / ECG / BCG,31
method,marker_artifact,reconstruction/imputation,Cochlear implant artifact,2
method,marker_artifact,reconstruction/imputation,Drift / sweat / cable,1
method,marker_artifact,reconstruction/imputation,IC/component label,3
method,marker_artifact,reconstruction/imputation,Line / mains noise,35
method,marker_artifact,reconstruction/imputation,Motion / head movement,38
method,marker_artifact,reconstruction/imputation,Muscle / EMG,57
method,marker_artifact,reconstruction/imputation,Ocular / blink / EOG,85
method,marker_artifact,reconstruction/imputation,Rejected epoch / segment,5
method,marker_artifact,reconstruction/imputation,TMS artifact,3
method,marker_artifact,reconstruction/imputation,fMRI gradient artifact,1
method,marker_artifact,regression/GLM,Artifact label / class,1
method,marker_artifact,regression/GLM,Bad channel / electrode contact,7
method,marker_artifact,regression/GLM,Cardiac / ECG / BCG,28
method,marker_artifact,regression/GLM,Cochlear implant artifact,1
method,marker_artifact,regression/GLM,IC/component label,1
method,marker_artifact,regression/GLM,Line / mains noise,24
method,marker_artifact,regression/GLM,Motion / head movement,31
method,marker_artifact,regression/GLM,Muscle / EMG,36
method,marker_artifact,regression/GLM,Ocular / blink / EOG,89
method,marker_artifact,regression/GLM,Rejected epoch / segment,6
method,marker_artifact,regression/GLM,TMS artifact,1
method,marker_artifact,regression/GLM,fMRI gradient artifact,2
method,marker_artifact,spectrogram/STFT,Bad channel / electrode contact,2
method,marker_artifact,spectrogram/STFT,Cardiac / ECG / BCG,12
method,marker_artifact,spectrogram/STFT,Line / mains noise,9
method,marker_artifact,spectrogram/STFT,Muscle / EMG,23
method,marker_artifact,spectrogram/STFT,Ocular / blink / EOG,23
method,marker_artifact,spectrogram/STFT,Rejected epoch / segment,1
method,marker_artifact,threshold,Artifact label / class,5
method,marker_artifact,threshold,Bad channel / electrode contact,31
method,marker_artifact,threshold,Bad-channel label/list,1
method,marker_artifact,threshold,Cardiac / ECG / BCG,36
method,marker_artifact,threshold,Cochlear implant artifact,1
method,marker_artifact,threshold,Drift / sweat / cable,5
method,marker_artifact,threshold,IC/component label,3
method,marker_artifact,threshold,Line / mains noise,44
method,marker_artifact,threshold,Motion / head movement,37
method,marker_artifact,threshold,Muscle / EMG,78
method,marker_artifact,threshold,Ocular / blink / EOG,120
method,marker_artifact,threshold,Rejected epoch / segment,22
method,marker_artifact,threshold,TMS artifact,13
method,marker_artifact,threshold,fMRI gradient artifact,2
method,marker_artifact,wavelet/DWT/CWT,Artifact label / class,1
method,marker_artifact,wavelet/DWT/CWT,Bad channel / electrode contact,10
method,marker_artifact,wavelet/DWT/CWT,Cardiac / ECG / BCG,50
method,marker_artifact,wavelet/DWT/CWT,Cochlear implant artifact,1
method,marker_artifact,wavelet/DWT/CWT,Drift / sweat / cable,6
method,marker_artifact,wavelet/DWT/CWT,IC/component label,2
method,marker_artifact,wavelet/DWT/CWT,Line / mains noise,37
method,marker_artifact,wavelet/DWT/CWT,Motion / head movement,26
method,marker_artifact,wavelet/DWT/CWT,Muscle / EMG,76
method,marker_artifact,wavelet/DWT/CWT,Ocular / blink / EOG,104
method,marker_artifact,wavelet/DWT/CWT,Rejected epoch / segment,1
method,marker_artifact,wavelet/DWT/CWT,TMS artifact,3
method,marker_artifact,wavelet/DWT/CWT,fMRI gradient artifact,1
method,marker_artifact,z-score,Bad channel / electrode contact,2
method,marker_artifact,z-score,Cardiac / ECG / BCG,4
method,marker_artifact,z-score,Drift / sweat / cable,2
method,marker_artifact,z-score,Line / mains noise,9
method,marker_artifact,z-score,Motion / head movement,5
method,marker_artifact,z-score,Muscle / EMG,11
method,marker_artifact,z-score,Ocular / blink / EOG,16
method,marker_artifact,z-score,Rejected epoch / segment,5
method,tool,ASR,ADJUST,10
method,tool,ASR,Automagic,1
method,tool,ASR,Autoreject,1
method,tool,ASR,BioSemi,2
method,tool,ASR,Brainstorm,1
method,tool,ASR,CleanLine,6
method,tool,ASR,EEGLAB,41
method,tool,ASR,FASTER,5
method,tool,ASR,FieldTrip,1
method,tool,ASR,ICLabel,13
method,tool,ASR,LSL,1
method,tool,ASR,MARA,2
method,tool,ASR,MATLAB,17
method,tool,ASR,MNE-Python,1
method,tool,ASR,PREP pipeline,5
method,tool,ASR,Python,5
method,tool,ASR,R,1
method,tool,ASR,SASICA,3
method,tool,ASR,Zapline,3
method,tool,ASR,clean_rawdata,16
method,tool,ASR,scikit-learn,1
method,tool,CCA,ADJUST,2
method,tool,CCA,BrainVision,1
method,tool,CCA,EEGLAB,7
method,tool,CCA,FASTER,6
method,tool,CCA,ICLabel,1
method,tool,CCA,MARA,2
method,tool,CCA,MATLAB,3
method,tool,CCA,MNE-Python,1
method,tool,CCA,Python,1
method,tool,CCA,R,2
method,tool,CCA,Zapline,1
method,tool,CNN,ADJUST,8
method,tool,CNN,Autoreject,1
method,tool,CNN,BioSemi,2
method,tool,CNN,EDF,6
method,tool,CNN,EEGLAB,5
method,tool,CNN,FASTER,13
method,tool,CNN,ICLabel,1
method,tool,CNN,Keras,10
method,tool,CNN,LSL,1
method,tool,CNN,MATLAB,11
method,tool,CNN,MNE-Python,2
method,tool,CNN,PREP pipeline,1
method,tool,CNN,PyTorch,3
method,tool,CNN,Python,15
method,tool,CNN,XGBoost,10
method,tool,CNN,scikit-learn,1
method,tool,EMD/EEMD,ADJUST,3
method,tool,EMD/EEMD,EDF,1
method,tool,EMD/EEMD,EEGLAB,2
method,tool,EMD/EEMD,FASTER,3
method,tool,EMD/EEMD,ICLabel,2
method,tool,EMD/EEMD,LSL,1
method,tool,EMD/EEMD,MARA,2
method,tool,EMD/EEMD,MATLAB,3
method,tool,EMD/EEMD,MNE-Python,1
method,tool,EMD/EEMD,Python,3
method,tool,EMD/EEMD,XGBoost,5
method,tool,EMD/EEMD,Zapline,1
method,tool,FFT,ADJUST,1
method,tool,FFT,Brainstorm,2
method,tool,FFT,EDF,4
method,tool,FFT,EEGLAB,9
method,tool,FFT,FASTER,4
method,tool,FFT,FieldTrip,3
method,tool,FFT,LSL,1
method,tool,FFT,MATLAB,15
method,tool,FFT,MNE-Python,1
method,tool,FFT,Python,5
method,tool,FFT,XGBoost,4
method,tool,FIR,ADJUST,5
method,tool,FIR,Autoreject,3
method,tool,FIR,BrainVision,1
method,tool,FIR,Brainstorm,2
method,tool,FIR,CleanLine,6
method,tool,FIR,EDF,2
method,tool,FIR,EEGLAB,56
method,tool,FIR,FASTER,4
method,tool,FIR,FieldTrip,5
method,tool,FIR,ICLabel,4
method,tool,FIR,LSL,1
method,tool,FIR,MARA,2
method,tool,FIR,MATLAB,46
method,tool,FIR,MNE-Python,3
method,tool,FIR,PREP pipeline,3
method,tool,FIR,Python,10
method,tool,FIR,R,1
method,tool,FIR,SASICA,1
method,tool,FIR,Zapline,2
method,tool,FIR,clean_rawdata,8
method,tool,ICA,ADJUST,67
method,tool,ICA,Automagic,2
method,tool,ICA,Autoreject,7
method,tool,ICA,BioSemi,4
method,tool,ICA,BrainVision,5
method,tool,ICA,Brainstorm,6
method,tool,ICA,CleanLine,6
method,tool,ICA,EDF,3
method,tool,ICA,EEGLAB,279
method,tool,ICA,FASTER,46
method,tool,ICA,FieldTrip,17
method,tool,ICA,ICLabel,59
method,tool,ICA,LSL,1
method,tool,ICA,MARA,25
method,tool,ICA,MATLAB,72
method,tool,ICA,MNE-Python,13
method,tool,ICA,PREP pipeline,13
method,tool,ICA,Python,22
method,tool,ICA,R,2
method,tool,ICA,SASICA,12
method,tool,ICA,XGBoost,3
method,tool,ICA,Zapline,4
method,tool,ICA,clean_rawdata,15
method,tool,ICA,scikit-learn,2
method,tool,LDA,ADJUST,1
method,tool,LDA,BioSemi,2
method,tool,LDA,EDF,2
method,tool,LDA,EEGLAB,2
method,tool,LDA,FASTER,1
method,tool,LDA,LSL,1
method,tool,LDA,MARA,1
method,tool,LDA,MATLAB,3
method,tool,LDA,Python,3
method,tool,LDA,XGBoost,4
method,tool,LDA,scikit-learn,3
method,tool,LSTM,ADJUST,4
method,tool,LSTM,BioSemi,1
method,tool,LSTM,EDF,3
method,tool,LSTM,EEGLAB,1
method,tool,LSTM,FASTER,4
method,tool,LSTM,Keras,2
method,tool,LSTM,MATLAB,2
method,tool,LSTM,MNE-Python,1
method,tool,LSTM,PREP pipeline,1
method,tool,LSTM,Python,6
method,tool,LSTM,R,1
method,tool,LSTM,XGBoost,5
method,tool,LSTM,scikit-learn,1
method,tool,PCA,ADJUST,3
method,tool,PCA,EDF,2
method,tool,PCA,EEGLAB,20
method,tool,PCA,FASTER,3
method,tool,PCA,FieldTrip,5
method,tool,PCA,ICLabel,5
method,tool,PCA,MARA,2
method,tool,PCA,MATLAB,10
